,longitude,latitude,sitename,nocorals2015,nocorals2016,change,pH_change,temp_change,salt_change
0,145.4695938,-14.67909769,coconut head ,10,8,-2,-0.01796722412109375,1.2844524383544922,0.29538726806640625
1,145.443665,-14.687436,Horseshoe Reef,26,32,6,-0.01762866973876953,1.2558059692382812,0.348419189453125
2,145.47185,-14.68659,Lizard Head,14,7,-7,-0.01796722412109375,1.2844524383544922,0.29538726806640625
3,145.4541,-14.6476,Mermaid Cove,10,16,6,-0.018141746520996094,1.3034629821777344,0.2687950134277344
4,145.4485365,-14.69146911,Palfrey Island,4,4,0,-0.01762866973876953,1.2558059692382812,0.348419189453125
5,145.4095,-14.7036,South Island,22,10,-12,-0.017663002014160156,1.2399559020996094,0.37007904052734375
