salinity temperature pH
34.952873 29.75412 8.024281
34.787453 29.371956 8.037055
34.007484 29.646992 8.038124
34.86229 27.831825 8.066509
35.137882 26.650074 8.083156
35.308086 25.517424 8.10577
35.466663 23.794012 8.127824
35.524525 24.328085 8.126626
35.381676 24.883177 8.100591
35.383427 26.624006 8.074422
35.457382 27.616287 8.064917
35.092766 29.431335 8.044753
34.98396 29.291748 8.040143
34.891968 28.958542 8.058269
34.667385 28.86346 8.065192
34.755695 27.721104 8.075939
35.022404 26.454891 8.079807
35.015896 25.883589 8.084453
34.996826 25.502413 8.089572
35.113277 25.01831 8.11288
35.149544 25.1781 8.101271
35.125927 25.88217 8.085355
35.083237 27.18183 8.072589
35.167423 27.955471 8.053866
35.12124 28.23438 8.061021
34.950268 29.288013 8.044841
34.906803 29.108368 8.048446
34.94356 27.830362 8.07181
34.95425 26.831636 8.0763855
35.090874 26.164864 8.074949
35.230213 25.189138 8.088888
35.183372 25.398802 8.089722
35.311726 25.225174 8.09362
35.31147 25.960835 8.072395
35.165504 27.463455 8.052433
35.17748 27.952347 8.049485
35.052006 28.638948 8.050176
34.75423 28.581797 8.05357
34.961838 27.95781 8.06482
34.905415 27.59221 8.056745
35.0644 26.523794 8.079513
35.084175 25.728401 8.089592
35.168694 24.981625 8.098537
35.25495 24.716906 8.090562
35.30559 24.714748 8.091684
35.280006 25.510195 8.081278
35.24393 26.627413 8.055088
35.17122 28.620163 8.030345
35.110836 28.56873 8.040754
34.991558 29.054258 8.039759
34.800583 28.730383 8.043447
34.99307 27.469341 8.06238
35.03396 26.530653 8.074502
35.21227 25.662348 8.083501
35.272816 24.8319 8.092338
35.24755 24.941608 8.091324
35.21266 25.435486 8.076124
35.30003 25.321346 8.08229
35.358818 26.568644 8.06617
35.22326 28.121298 8.044152
35.10664 29.23278 8.0200615
35.07118 29.928823 8.031907
34.83055 30.357714 8.030492
35.03577 28.483732 8.057173
35.00472 27.781149 8.050651
35.20042 26.906967 8.060033
35.242867 26.173325 8.065005
35.33868 25.295296 8.081977
35.30989 25.962025 8.07282
35.31492 26.254953 8.077625
35.261356 27.764978 8.049776
35.331665 28.21363 8.048695
