salinity temperature pH
34.958576 29.763979 8.023479
34.829372 29.409155 8.036145
34.086723 29.652014 8.038175
34.793056 27.887798 8.065294
35.098137 26.611462 8.082906
35.310448 25.546984 8.108042
35.461395 23.812878 8.126921
35.515038 24.340387 8.127332
35.390553 24.853077 8.102011
35.38265 26.645094 8.07321
35.45591 27.62483 8.066809
35.073566 29.439896 8.044048
34.96751 29.393246 8.0400305
34.88746 28.961306 8.058065
34.633343 28.929491 8.064718
34.739197 27.766962 8.076135
35.0171 26.495337 8.078768
35.010582 25.95696 8.083434
34.99468 25.497696 8.08849
35.110157 25.050732 8.11308
35.14047 25.254751 8.099643
35.109177 25.974588 8.083595
35.085796 27.145172 8.072597
35.164112 28.126871 8.05085
35.12326 28.323545 8.059589
34.941986 29.442978 8.041634
34.90204 29.146862 8.047842
34.933155 27.914661 8.071117
34.945587 26.859724 8.0751095
35.085308 26.185366 8.07527
35.222366 25.25438 8.086345
35.184895 25.380274 8.08953
35.30952 25.23502 8.093194
35.301548 26.056236 8.069497
35.15822 27.490702 8.05195
35.169 27.997091 8.048748
35.03456 28.706535 8.049487
34.74769 28.63142 8.0521755
34.95047 27.989965 8.063883
34.903374 27.614143 8.056139
35.05668 26.58477 8.078334
35.072342 25.781042 8.088652
35.16707 24.992641 8.098428
35.25332 24.73158 8.090268
35.29961 24.76239 8.091873
35.277306 25.530703 8.08192
35.24301 26.609684 8.056376
35.17064 28.672129 8.029832
35.10923 28.620077 8.039027
34.971592 29.108582 8.03863
34.792084 28.730629 8.043539
34.98377 27.546288 8.061549
35.024223 26.557766 8.074138
35.204945 25.68459 8.083279
35.261093 24.884869 8.091423
35.247528 24.933405 8.09179
35.21444 25.39525 8.076785
35.298164 25.338428 8.081358
35.35742 26.7756 8.063146
35.227753 28.151175 8.044084
35.0968 29.276123 8.0191345
35.05286 30.087254 8.029177
34.822575 30.456602 8.028593
35.025604 28.540861 8.055829
34.99206 27.800928 8.050826
35.19321 26.934465 8.0592575
35.233917 26.218437 8.064286
35.323853 25.391937 8.079049
35.30182 26.042185 8.071737
35.30227 26.391438 8.075241
35.251328 27.789345 8.049713
35.31515 28.287956 8.048187
