salinity temperature pH
34.737713 29.760666 8.025092
34.038017 29.35557 8.037197
32.864952 29.80159 8.037928
33.576447 27.709995 8.049655
34.275227 25.947096 8.059275
35.014286 24.320477 8.088532
35.16261 22.793966 8.08658
35.518833 23.166899 8.081001
35.529724 24.183151 8.09005
35.33397 26.655472 8.055219
35.480118 27.644396 8.048953
35.277214 29.543673 8.04693
35.112103 29.72075 8.032819
34.943996 29.613365 8.033301
34.676 29.157757 8.049191
34.02005 27.748657 8.084637
34.013985 26.075045 8.087881
34.598522 24.933252 8.078912
35.04252 24.078506 8.076691
35.33268 24.087431 8.092015
35.346806 25.024364 8.085879
35.355724 25.826538 8.074327
35.219658 27.29537 8.062066
35.30994 28.507704 8.0383215
35.236694 29.29122 8.027754
35.11649 29.86789 8.026922
34.90304 29.68992 8.044087
34.486534 28.238434 8.0781
34.641975 26.455122 8.076261
34.93329 24.846481 8.072391
35.1762 23.819624 8.065902
35.270096 24.809626 8.083591
35.41663 25.033014 8.080335
35.401844 26.10839 8.061101
35.373585 27.542772 8.037249
35.330585 28.23168 8.028299
35.199574 28.870516 8.026642
34.23454 29.012291 8.038544
34.351482 28.236061 8.052188
34.259396 27.462 8.0513115
34.51399 26.320147 8.053771
34.808212 24.728355 8.057219
35.261864 23.813885 8.076975
35.356857 23.835428 8.081032
35.47587 24.448158 8.067605
35.495358 25.449514 8.056523
35.379364 26.771439 8.051455
35.379177 28.950235 8.014786
35.203167 29.218185 8.012897
34.922073 29.292297 8.029794
34.590748 29.14773 8.042119
34.61755 28.07193 8.052275
35.052372 26.50891 8.064009
35.40635 24.921713 8.074971
35.51658 23.939491 8.077233
35.429695 24.255213 8.073531
35.493484 25.486471 8.06784
35.674175 25.620375 8.043803
35.544575 27.297804 8.033346
35.345657 28.586723 8.022491
35.158386 29.767723 8.004509
35.149853 30.188549 8.004925
34.848755 30.678236 8.021475
34.50625 28.788048 8.064194
34.562115 27.317041 8.066879
34.84551 26.424458 8.061215
35.08908 25.20579 8.0624275
35.19878 24.277039 8.062871
35.3396 25.607878 8.054465
35.419937 26.72114 8.046527
35.446552 27.781532 8.03567
35.518795 28.578945 8.019362
