salinity temperature pH
34.950287 29.685425 8.024521
34.848965 29.483809 8.035173
34.177753 29.659323 8.038135
34.636574 27.92603 8.061679
35.057934 26.599586 8.080239
35.306988 25.527935 8.107744
35.442574 23.741518 8.123537
35.50465 24.377434 8.125874
35.397156 24.804152 8.103226
35.36831 26.61702 8.07355
35.450966 27.619816 8.067183
35.07358 29.387985 8.046061
34.957737 29.431952 8.040142
34.89631 28.932648 8.059432
34.639427 28.93517 8.064659
34.677395 27.808212 8.077917
34.986397 26.436317 8.080604
35.009262 25.908792 8.083634
34.993324 25.509495 8.088797
35.113976 25.037252 8.112264
35.14725 25.222946 8.099776
35.109966 25.969301 8.083947
35.09188 27.149536 8.072578
35.166977 28.059738 8.051911
35.126774 28.346195 8.059464
34.94934 29.411657 8.041943
34.909096 29.18501 8.04681
34.893356 27.984234 8.071826
34.953983 26.79862 8.077074
35.07851 26.131369 8.074504
35.238293 25.13291 8.088728
35.18384 25.368593 8.0896225
35.31062 25.193613 8.094822
35.300346 26.051996 8.069036
35.163242 27.47241 8.053362
35.172848 28.039042 8.047766
35.03642 28.714317 8.049021
34.722397 28.678272 8.050174
34.90464 28.044191 8.062896
34.887814 27.602945 8.056473
35.03811 26.559639 8.077255
35.075336 25.661182 8.086581
35.178375 24.893896 8.097647
35.263752 24.635643 8.091752
35.305653 24.76075 8.091875
35.283653 25.495316 8.082698
35.24851 26.59011 8.057795
35.177586 28.609848 8.030711
35.11839 28.598906 8.037796
34.969746 29.080269 8.0376425
34.771862 28.802973 8.042884
34.974632 27.577623 8.060932
35.028004 26.528147 8.072463
35.215855 25.642193 8.080755
35.29146 24.785727 8.091565
35.2576 24.872927 8.090579
35.227016 25.423473 8.075469
35.3138 25.360243 8.078976
35.360218 26.836716 8.061546
35.246437 28.14604 8.043502
35.093185 29.266655 8.01907
35.06104 30.095339 8.026823
34.817482 30.53877 8.027715
34.9901 28.6277 8.0565
34.98066 27.782875 8.05142
35.18668 26.897446 8.059989
35.242817 26.155191 8.063997
35.325367 25.332937 8.0796995
35.300564 26.050955 8.071216
35.3093 26.406557 8.073995
35.248528 27.749748 8.0506735
35.300293 28.325115 8.046888
