salinity temperature pH
34.93639 29.751667 8.02402
34.771664 29.403965 8.036503
33.909916 29.679846 8.037981
34.774567 27.830048 8.065135
35.093895 26.600176 8.081777
35.308266 25.506744 8.105518
35.4581 23.73147 8.126987
35.53215 24.26727 8.125772
35.38817 24.8523 8.101134
35.381596 26.612713 8.07497
35.45618 27.602427 8.0663395
35.10225 29.425886 8.045957
34.988083 29.329365 8.04001
34.901833 28.973036 8.0566635
34.674763 28.864876 8.064928
34.736046 27.725178 8.077278
35.013725 26.407614 8.081492
35.01804 25.830606 8.085574
35.008373 25.390312 8.088133
35.12491 24.950306 8.112245
35.15779 25.153534 8.102177
35.128284 25.878017 8.08551
35.087944 27.180939 8.072552
35.171555 27.969439 8.0538645
35.132008 28.249533 8.0613165
34.955452 29.308668 8.044819
34.914024 29.12508 8.048232
34.9314 27.853962 8.073309
34.959946 26.787111 8.078013
35.087788 26.127186 8.074645
35.23995 25.103172 8.090871
35.187225 25.368267 8.089819
35.312897 25.218464 8.094062
35.315357 25.945442 8.073122
35.17147 27.468744 8.051997
35.182003 27.946932 8.049111
35.05745 28.650309 8.049649
34.730957 28.62278 8.052268
34.95178 27.962364 8.0651045
34.89723 27.581728 8.057236
35.062313 26.500313 8.080164
35.091278 25.648733 8.089663
35.174713 24.926222 8.098607
35.260674 24.656225 8.091887
35.31083 24.69463 8.092424
35.28445 25.493025 8.081506
35.245525 26.630133 8.055484
35.176723 28.625246 8.030219
35.12296 28.563587 8.040186
34.99061 29.073322 8.03883
34.79605 28.752987 8.043704
34.993507 27.46747 8.063191
35.037968 26.5023 8.074323
35.22108 25.61946 8.083306
35.290066 24.759577 8.093623
35.255375 24.887123 8.091835
35.218365 25.420858 8.076292
35.30797 25.316105 8.081931
35.362484 26.59672 8.066074
35.228077 28.137936 8.043827
35.105057 29.272215 8.019565
35.080082 29.98114 8.028828
34.8298 30.443972 8.029251
35.02484 28.499985 8.058446
35.00563 27.760796 8.051611
35.20098 26.889261 8.060658
35.249367 26.11962 8.065136
35.342476 25.24359 8.083434
35.3106 25.965132 8.072712
35.32187 26.235994 8.0787525
35.262783 27.75231 8.049796
35.32816 28.253057 8.047527
