salinity temperature pH
34.779037 29.753672 8.0240345
34.25779 29.32562 8.03681
33.133385 29.773905 8.038189
34.300552 27.804363 8.057227
34.635303 26.213482 8.068448
35.138016 24.767189 8.095425
35.362774 23.426264 8.112063
35.55507 23.429636 8.098317
35.441956 24.469141 8.100051
35.32973 26.49623 8.070611
35.45838 27.534515 8.05368
35.207474 29.334732 8.050886
35.034584 29.44392 8.036771
34.9506 29.291758 8.043671
34.68481 28.963226 8.058013
34.444107 27.804544 8.080297
34.6305 26.29142 8.084677
34.922207 25.41294 8.083346
35.068123 24.619234 8.085998
35.21759 24.507715 8.10355
35.239845 25.001923 8.098507
35.2115 25.767305 8.083444
35.143974 27.174349 8.069176
35.198612 28.065126 8.050445
35.151077 28.876312 8.045254
35.02689 29.465975 8.03743
34.874817 29.453619 8.044231
34.80506 28.097212 8.071956
34.886982 26.573206 8.08086
35.04572 25.496946 8.074339
35.235916 24.406515 8.083847
35.225124 25.038002 8.087482
35.350437 25.106659 8.08899
35.350014 25.919249 8.071682
35.254562 27.382172 8.047401
35.235836 28.091076 8.038968
35.118343 28.701014 8.043259
34.494427 28.819128 8.046659
34.764385 28.142408 8.057846
34.691547 27.566994 8.054973
34.91371 26.482138 8.067731
35.0187 25.204563 8.07803
35.229015 24.41237 8.091405
35.309647 24.180477 8.092983
35.383476 24.494377 8.084027
35.361595 25.397518 8.072998
35.29626 26.661448 8.055512
35.263393 28.671627 8.024382
35.164536 28.861704 8.027547
34.985226 29.259525 8.032379
34.778305 28.998579 8.041358
34.904003 27.778444 8.056814
35.059914 26.534945 8.066843
35.317314 25.254398 8.077179
35.388752 24.38278 8.08816
35.32031 24.555733 8.085559
35.3596 25.405296 8.076055
35.462685 25.40882 8.063297
35.404354 26.67349 8.060407
35.266556 28.299234 8.036009
35.12735 29.385918 8.015933
35.128113 30.144398 8.019126
34.84996 30.524227 8.025843
34.80861 28.83103 8.058218
34.870773 27.573153 8.062676
35.11385 26.73355 8.0610285
35.23265 25.69036 8.065388
35.315563 24.839407 8.0772
35.33618 25.669138 8.067605
35.351124 26.385529 8.067788
35.34795 27.555857 8.0491705
35.4414 28.406975 8.030035
