salinity temperature pH
34.934338 29.662827 8.025927
34.784508 29.240656 8.038866
33.952988 29.50941 8.039592
34.903595 27.782337 8.067531
35.15446 26.619205 8.0828
35.298355 25.257368 8.102973
35.46991 23.753942 8.1278305
35.55556 24.122059 8.121009
35.37091 24.783487 8.100923
35.372437 26.534637 8.075663
35.454594 27.428337 8.055761
35.111336 29.340385 8.048664
35.008457 28.84639 8.043739
34.924934 28.845388 8.057341
34.697994 28.701656 8.066605
34.766155 27.629614 8.076435
35.021397 26.39887 8.081217
35.02213 25.76333 8.08492
35.02424 25.305681 8.089342
35.149635 24.821331 8.109599
35.179287 24.986002 8.103062
35.16108 25.651522 8.088405
35.10279 27.128628 8.072977
35.170593 27.552948 8.060517
35.127544 28.0784 8.062415
35.0303 28.620243 8.052853
34.90972 29.001156 8.050491
34.94819 27.696815 8.073579
34.971294 26.732414 8.079289
35.096478 26.090845 8.075407
35.25015 24.99819 8.093765
35.19872 25.255587 8.090416
35.317776 25.146866 8.097572
35.322033 25.724562 8.076774
35.20036 27.197197 8.054342
35.1931 27.82335 8.050532
35.083164 28.523773 8.050694
34.77542 28.490852 8.0542965
34.97982 27.89283 8.065724
34.90822 27.5532 8.058396
35.070133 26.43563 8.080567
35.10164 25.606401 8.09033
35.180134 24.902971 8.098344
35.26492 24.604733 8.09327
35.320095 24.601328 8.091873
35.296288 25.424519 8.081292
35.255215 26.54001 8.057499
35.202374 28.261316 8.0344925
35.128483 28.38869 8.043445
35.01766 28.939945 8.041133
34.81592 28.676634 8.044783
35.00327 27.31375 8.064791
35.047405 26.469694 8.075293
35.234035 25.588818 8.0837555
35.287933 24.748558 8.093125
35.261086 24.841164 8.090919
35.232628 25.408602 8.0778265
35.315926 25.213835 8.084679
35.365692 26.046837 8.072459
35.23664 27.912441 8.044981
35.14464 28.886509 8.024625
35.096825 29.493774 8.034815
34.831738 30.13582 8.032892
35.038677 28.429085 8.058142
35.03828 27.679243 8.052659
35.210377 26.800465 8.06166
35.2572 26.074793 8.066249
35.344738 25.184175 8.084432
35.33117 25.703922 8.078013
35.32624 26.080025 8.07987
35.292217 27.530796 8.053376
35.357883 28.067556 8.048916
