salinity temperature pH
34.94476 29.726397 8.024048
34.81496 29.475317 8.035253
34.03259 29.673101 8.038106
34.67356 27.888165 8.062951
35.052883 26.57271 8.080419
35.309315 25.511534 8.107228
35.444317 23.716822 8.124511
35.51305 24.347452 8.1260605
35.396336 24.818892 8.102648
35.375698 26.624104 8.074148
35.453888 27.609074 8.067146
35.084007 29.42994 8.046242
34.97155 29.377357 8.040364
34.90008 28.962301 8.057698
34.652836 28.906631 8.064795
34.70145 27.783918 8.077499
34.999332 26.425545 8.080857
35.01288 25.887032 8.084271
35.000446 25.44193 8.08842
35.116863 25.007313 8.112591
35.149853 25.21317 8.100817
35.11523 25.943502 8.084488
35.090893 27.14721 8.072526
35.167915 28.059755 8.05211
35.130722 28.3048 8.060114
34.948273 29.381924 8.042478
34.911263 29.165842 8.047253
34.909813 27.935387 8.072622
34.95532 26.800005 8.0773325
35.082333 26.13059 8.074696
35.236763 25.135126 8.089048
35.185158 25.366535 8.089604
35.311245 25.214294 8.093908
35.30603 26.005615 8.070936
35.164444 27.475716 8.052805
35.17633 27.997105 8.048384
35.044907 28.708923 8.049069
34.70925 28.684599 8.050112
34.927814 28.008188 8.064009
34.89267 27.600681 8.056806
35.049442 26.539438 8.0787735
35.07939 25.675018 8.087552
35.17692 24.906813 8.098143
35.26184 24.647747 8.091826
35.306637 24.737932 8.092246
35.284027 25.49605 8.082184
35.246597 26.596779 8.057352
35.177494 28.649614 8.030076
35.121235 28.606752 8.037693
34.974335 29.118484 8.037406
34.784332 28.777544 8.043353
34.98109 27.547308 8.061883
35.030598 26.518772 8.073377
35.218628 25.62906 8.082037
35.287704 24.789783 8.092247
35.255657 24.897535 8.091399
35.22427 25.422277 8.076008
35.30988 25.345036 8.080323
35.36056 26.755463 8.063695
35.23689 28.148254 8.043712
35.097782 29.29342 8.018961
35.06519 30.0446 8.027446
34.82025 30.514057 8.028044
35.00732 28.571774 8.057234
34.989086 27.777502 8.05148
35.193035 26.900269 8.0602665
35.24359 26.144848 8.064516
35.331314 25.310213 8.080921
35.304104 26.027018 8.07185
35.312958 26.33431 8.076071
35.253983 27.757627 8.05026
35.311886 28.311443 8.047213
