salinity temperature pH
34.961628 29.727623 8.023931
34.863163 29.480268 8.035461
34.16899 29.654667 8.038322
34.73059 27.9133 8.063755
35.077766 26.613317 8.081447
35.310528 25.567635 8.108014
35.452976 23.787905 8.125217
35.50324 24.418932 8.126775
35.393005 24.838224 8.102614
35.37546 26.643255 8.072953
35.45437 27.63379 8.067342
35.06866 29.43085 8.044938
34.95993 29.400087 8.040656
34.888557 28.948769 8.059003
34.63068 28.944305 8.0648575
34.71883 27.795704 8.076728
35.01368 26.47903 8.079178
35.00975 25.957443 8.083257
34.98643 25.566998 8.089931
35.103115 25.090786 8.113641
35.13936 25.252935 8.099459
35.10695 25.984787 8.083525
35.08728 27.152864 8.072406
35.16288 28.07146 8.051589
35.12213 28.320837 8.059903
34.94207 29.430573 8.041243
34.903316 29.157963 8.047514
34.922577 27.93405 8.07172
34.948265 26.84202 8.075791
35.081726 26.174444 8.075067
35.226643 25.226799 8.086759
35.181835 25.389091 8.08983
35.308937 25.225615 8.093633
35.29833 26.056187 8.069195
35.157707 27.49136 8.052786
35.168514 28.030912 8.048109
35.033154 28.727419 8.049499
34.73856 28.659554 8.051076
34.938927 28.007048 8.063942
34.901318 27.612387 8.056241
35.05348 26.581661 8.078343
35.0737 25.762377 8.08755
35.17055 24.966106 8.098269
35.256348 24.70442 8.09079
35.30012 24.770084 8.092014
35.278988 25.51628 8.082493
35.245285 26.594572 8.057315
35.173706 28.656076 8.030289
35.110844 28.621027 8.038334
34.96759 29.109625 8.038238
34.784954 28.744473 8.043351
34.98305 27.545706 8.061556
35.023823 26.546787 8.073829
35.20559 25.687374 8.082325
35.26833 24.867744 8.091403
35.249245 24.942118 8.091064
35.21924 25.429014 8.075662
35.300632 25.350487 8.080531
35.357185 26.80376 8.062468
35.234764 28.146694 8.044017
35.094666 29.279427 8.019012
35.052937 30.076887 8.028522
34.816437 30.501484 8.028159
35.017 28.57225 8.056004
34.984467 27.803177 8.050571
35.19063 26.931995 8.059532
35.235306 26.208239 8.064138
35.32188 25.3941 8.078994
35.29893 26.067537 8.071215
35.302094 26.40028 8.074766
35.24668 27.781649 8.050035
35.305466 28.31511 8.047555
