salinity temperature pH
34.798893 29.717716 8.024633
34.294357 29.333042 8.036427
33.18334 29.77134 8.0376425
34.372456 27.808943 8.058107
34.671776 26.244753 8.068536
35.149384 24.801888 8.094107
35.37708 23.464712 8.114569
35.551517 23.55363 8.102607
35.43697 24.487082 8.100825
35.336758 26.466421 8.073544
35.455715 27.527172 8.054635
35.19275 29.33456 8.051223
35.029762 29.40601 8.037562
34.94467 29.227757 8.045594
34.689266 28.953852 8.058531
34.49845 27.791431 8.079799
34.696693 26.303347 8.08442
34.94266 25.451818 8.083271
35.066612 24.652136 8.085646
35.21207 24.52119 8.103441
35.23079 25.009535 8.099666
35.201134 25.761972 8.083958
35.132046 27.15093 8.070587
35.19271 28.005608 8.051512
35.164543 28.772585 8.047606
35.016277 29.418388 8.038937
34.87972 29.391233 8.044754
34.82834 28.041878 8.072402
34.91624 26.577263 8.081691
35.050884 25.553556 8.073851
35.2421 24.454369 8.085469
35.2176 25.083506 8.088058
35.344055 25.12126 8.089555
35.34686 25.890547 8.072755
35.24073 27.370184 8.049068
35.228516 28.062908 8.040452
35.110397 28.694023 8.043883
34.504227 28.799122 8.0464735
34.80189 28.105703 8.059223
34.731407 27.573402 8.055669
34.947994 26.475498 8.070142
35.035706 25.247581 8.080026
35.226223 24.433355 8.09187
35.305737 24.205782 8.0932865
35.37521 24.495876 8.085513
35.350323 25.381784 8.074793
35.28602 26.63516 8.055604
35.246254 28.624022 8.025574
35.16206 28.772985 8.030006
34.987095 29.22019 8.033233
34.783634 28.973057 8.041596
34.923378 27.68118 8.058988
35.057518 26.5122 8.068083
35.303707 25.284597 8.077567
35.378895 24.403055 8.089691
35.31362 24.572166 8.086471
35.334152 25.371136 8.077024
35.44093 25.35556 8.067146
35.39927 26.683418 8.062201
35.254177 28.249516 8.036977
35.12719 29.307484 8.017031
35.12216 30.020058 8.020593
34.846855 30.506521 8.027131
34.847927 28.779095 8.058865
34.904366 27.582634 8.061707
35.13172 26.752947 8.06122
35.245026 25.737383 8.065277
35.323284 24.898954 8.078511
35.33417 25.686768 8.069577
35.3474 26.322044 8.070458
35.330326 27.522087 8.050776
35.416824 28.355469 8.033613
