id	modified	bibliographicCitation	references	institutionCode	collectionCode	basisOfRecord	materialSampleID	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	occurrenceStatus	preparations	otherCatalogNumbers	associatedReferences	organismID	associatedOccurrences	eventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	eventDate	eventTime	year	month	verbatimEventDate	fieldNumber	waterBody	country	stateProvince	county	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	footprintWKT	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	identificationQualifier	typeStatus	scientificNameID	taxonConceptID	scientificName	kingdom	phylum	class	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName
2F0687BA-A13E-4153-0B44-CA6676E612C9	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2009	HumanObservation		2F0687BA-A13E-4153-0B44-CA6676E612C9	2F0687BA-A13E-4153-0B44-CA6676E612C9					1	individuals			present										2009-02-27							Australia				1	1	-14.68105	145.44568	200	0.0018	POINT (145.44568 -14.68105)							urn:lsid:marinespecies.org:taxname:215340		Bulla adamsi	Animalia	Mollusca	Gastropoda	Bullidae	Bulla				species	Menke, 1850	
{AF152C71-621D-4A10-A3D7-0BBF2E969B89}	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2009	HumanObservation		{AF152C71-621D-4A10-A3D7-0BBF2E969B89}	{AF152C71-621D-4A10-A3D7-0BBF2E969B89}					1	individuals			present										2009-02-27							Australia				0.5	0.5	-14.67388	145.4444	200	0.0018	POINT (145.44440 -14.67388)							urn:lsid:marinespecies.org:taxname:513155		Brissus agassizi	Animalia	Echinodermata	Echinoidea	Brissidae	Brissus				species	D̦derlein, 1885	
2C0C000B-85BE-4D57-91C6-009AA3202B64	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2009	HumanObservation		2C0C000B-85BE-4D57-91C6-009AA3202B64	2C0C000B-85BE-4D57-91C6-009AA3202B64					1	individuals			present										2009-02-27							Australia				12	12	-14.45139	145.3139	200	0.0018	POINT (145.31390 -14.45139)							urn:lsid:marinespecies.org:taxname:213575		Brissus latecarinatus	Animalia	Echinodermata	Echinoidea	Brissidae	Brissus				species	(Leske, 1778)	
16CF2471-0977-419E-AE30-004BF8EF5049	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2009	HumanObservation		16CF2471-0977-419E-AE30-004BF8EF5049	16CF2471-0977-419E-AE30-004BF8EF5049					1	individuals			present										2009-02-27							Australia				7	7	-14.67878	145.4747	200	0.0018	POINT (145.47470 -14.67878)							urn:lsid:marinespecies.org:taxname:213575		Brissus latecarinatus	Animalia	Echinodermata	Echinoidea	Brissidae	Brissus				species	(Leske, 1778)	
39632BC2-08B6-4B17-A921-0E829F93C9FF	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2010	HumanObservation		39632BC2-08B6-4B17-A921-0E829F93C9FF	39632BC2-08B6-4B17-A921-0E829F93C9FF					1	individuals			present										2010							Australia				5	5	-14.69005	145.4427	200	0.0018	POINT (145.44270 -14.69005)							urn:lsid:marinespecies.org:taxname:278536		Caesio cuning	Animalia	Chordata	Actinopterygii	Caesionidae	Caesio				species	(Bloch, 1791)	
{ECACAB9A-0D8A-4A7D-B113-469B2372A9A7}	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2009	HumanObservation		{ECACAB9A-0D8A-4A7D-B113-469B2372A9A7}	{ECACAB9A-0D8A-4A7D-B113-469B2372A9A7}					1	individuals			present										2009-02-27							Australia				0	0	-14.6803	145.46899	200	0.0018	POINT (145.46899 -14.68030)							urn:lsid:marinespecies.org:taxname:208677		Calcinus latens	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				Species	(Randall, 1840)	
{F33BAF7D-0EC9-42E9-A04C-0619BB2E12C9}	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2009	HumanObservation		{F33BAF7D-0EC9-42E9-A04C-0619BB2E12C9}	{F33BAF7D-0EC9-42E9-A04C-0619BB2E12C9}					1	individuals			present										2009-02-27							Australia				2	2	-14.68114	145.4725	200	0.0018	POINT (145.47250 -14.68114)							urn:lsid:marinespecies.org:taxname:208672		Calcinus gaimardii	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				Species	(H. Milne Edwards, 1848)	
{2EA64091-3B91-4CD9-BA45-57CED85B40B5}	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2009	HumanObservation		{2EA64091-3B91-4CD9-BA45-57CED85B40B5}	{2EA64091-3B91-4CD9-BA45-57CED85B40B5}					1	individuals			present										2009-02-27							Australia				2	2	-14.68114	145.4725	200	0.0018	POINT (145.47250 -14.68114)							urn:lsid:marinespecies.org:taxname:208672		Calcinus gaimardii	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				Species	(H. Milne Edwards, 1848)	
{F71470DB-52EE-46B5-87C9-A8DA98D83EA8}	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		{F71470DB-52EE-46B5-87C9-A8DA98D83EA8}	{F71470DB-52EE-46B5-87C9-A8DA98D83EA8}					1	individuals			present										2009-02-27							Australia				11	11	-14.3902	145.2737	200	0.0018	POINT (145.27370 -14.39020)							urn:lsid:marinespecies.org:taxname:208677		Calcinus latens	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				Species	(Randall, 1840)	
{858A2B13-27E9-40F0-BD53-04D6D8528AE2}	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2009	HumanObservation		{858A2B13-27E9-40F0-BD53-04D6D8528AE2}	{858A2B13-27E9-40F0-BD53-04D6D8528AE2}					2	individuals			present										2009-02-27							Australia				11	11	-14.3902	145.2737	200	0.0018	POINT (145.27370 -14.39020)							urn:lsid:marinespecies.org:taxname:208677		Calcinus latens	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				Species	(Randall, 1840)	
