salinity temperature pH
34.957424 29.744492 8.023764
34.839725 29.45097 8.035661
34.10029 29.662062 8.038166
34.743946 27.892632 8.064387
35.07869 26.590885 8.082019
35.30977 25.543627 8.108106
35.45388 23.775867 8.125934
35.507984 24.383398 8.126966
35.392902 24.836285 8.10259
35.378494 26.637114 8.073389
35.454754 27.618814 8.067042
35.07304 29.439041 8.044909
34.965992 29.38564 8.040419
34.89083 28.958261 8.058362
34.638203 28.92411 8.0648575
34.72496 27.779325 8.07673
35.014286 26.472284 8.079414
35.011375 25.940056 8.083678
34.992294 25.516718 8.089171
35.10821 25.058489 8.113327
35.14197 25.24428 8.100009
35.109856 25.964249 8.083854
35.087734 27.139757 8.072545
35.164333 28.088688 8.051643
35.12533 28.299166 8.060269
34.94286 29.423428 8.041695
34.905384 29.15156 8.047689
34.925335 27.92007 8.071909
34.949894 26.838161 8.076017
35.083473 26.171303 8.075099
35.226852 25.223053 8.087163
35.18318 25.378948 8.089689
35.309696 25.226204 8.093447
35.301674 26.039906 8.069885
35.159172 27.485804 8.0526
35.170628 28.00583 8.048516
35.037075 28.712315 8.049489
34.73502 28.65423 8.05129
34.94362 27.996168 8.064192
34.901676 27.610365 8.056341
35.055237 26.570415 8.078618
35.07505 25.750002 8.088232
35.17017 24.96515 8.098504
35.256084 24.70426 8.090858
35.301178 24.75868 8.092124
35.279465 25.5157 8.082126
35.24459 26.597378 8.057203
35.1733 28.663048 8.03003
35.112507 28.618198 8.038437
34.97146 29.114029 8.038182
34.789032 28.742634 8.04354
34.983887 27.542501 8.061733
35.025513 26.5433 8.073943
35.20889 25.669563 8.08285
35.26936 24.854895 8.091785
35.249577 24.926947 8.091755
35.21901 25.407413 8.076515
35.3009 25.341677 8.081183
35.357803 26.762474 8.063476
35.232525 28.143332 8.044013
35.09587 29.279015 8.01909
35.055725 30.068132 8.0285635
34.819298 30.4785 8.028341
35.020985 28.550835 8.056487
34.98971 27.793863 8.050855
35.192818 26.924046 8.059675
35.23672 26.199865 8.064306
35.32547 25.37482 8.0796175
35.301304 26.045017 8.071762
35.305107 26.369133 8.075574
35.249714 27.781805 8.050002
35.310486 28.300531 8.047967
