salinity temperature pH
34.88996 29.724909 8.025155
34.709427 29.248623 8.038873
33.720726 29.60187 8.039011
34.84477 27.765661 8.066511
35.0854 26.542046 8.079431
35.261227 25.13477 8.100461
35.463737 23.709837 8.126048
35.593685 23.757088 8.110845
35.393387 24.622042 8.102742
35.35589 26.502872 8.074023
35.46032 27.448235 8.055043
35.1479 29.326889 8.050079
35.003315 29.255579 8.038263
34.930187 28.974375 8.052276
34.657867 28.852734 8.0633545
34.741344 27.638365 8.076992
35.00018 26.36735 8.081925
35.02281 25.680517 8.08526
35.047142 25.10249 8.089101
35.173702 24.69545 8.107368
35.194584 24.952215 8.102338
35.167545 25.67014 8.087144
35.12236 27.11892 8.071903
35.17721 27.675629 8.058022
35.128487 28.270542 8.0594225
35.003468 29.039848 8.045445
34.905125 29.086546 8.0489855
34.936302 27.73071 8.072659
34.980072 26.661743 8.080434
35.093513 25.97347 8.07449
35.258385 24.864115 8.0941515
35.211826 25.13223 8.089579
35.323784 25.155447 8.095728
35.328392 25.753752 8.074867
35.206345 27.326262 8.051816
35.19947 27.958046 8.04747
35.0768 28.616688 8.0489025
34.71027 28.580734 8.052962
34.97048 27.88396 8.06548
34.89482 27.544918 8.058293
35.067165 26.409983 8.080087
35.104748 25.522043 8.089405
35.194363 24.804409 8.096755
35.276142 24.485758 8.094471
35.336243 24.52188 8.090226
35.311817 25.35788 8.080612
35.26836 26.561014 8.058136
35.217274 28.506208 8.029871
35.136456 28.59257 8.039051
35.013134 29.134098 8.037507
34.812065 28.73366 8.043743
34.996967 27.365126 8.063672
35.04999 26.465221 8.073642
35.24536 25.540113 8.082507
35.302578 24.682419 8.092761
35.273853 24.755112 8.089627
35.273518 25.37304 8.078927
35.33509 25.177523 8.083083
35.37234 26.2041 8.069304
35.224617 28.154974 8.04132
35.11923 29.26132 8.019188
35.080902 30.11668 8.027527
34.78706 30.466011 8.028407
35.022373 28.457764 8.058614
35.040707 27.621069 8.05518
35.20954 26.780916 8.061867
35.262913 25.997196 8.066037
35.345585 25.118837 8.0852375
35.332752 25.75063 8.074712
35.332455 26.152554 8.077082
35.30626 27.553482 8.052462
35.379013 28.128597 8.0443945
