salinity temperature pH
34.89702 29.708176 8.025349
34.714123 29.25049 8.0388565
33.73829 29.598063 8.039031
34.858784 27.767544 8.066509
35.096893 26.554903 8.079582
35.267014 25.149385 8.100596
35.46545 23.715702 8.126267
35.58835 23.819973 8.111342
35.391953 24.644745 8.102124
35.358578 26.50021 8.074201
35.458805 27.456831 8.054492
35.144024 29.320406 8.050113
35.003784 29.197102 8.039125
34.929752 28.948494 8.052923
34.660927 28.840067 8.063544
34.74786 27.634596 8.076688
35.00587 26.369785 8.08174
35.023796 25.693308 8.084667
35.046963 25.113314 8.088579
35.173157 24.703861 8.106959
35.194176 24.955519 8.101908
35.16802 25.662912 8.086996
35.120625 27.108849 8.072133
35.176483 27.635138 8.0586405
35.12954 28.219234 8.060302
35.005955 29.006073 8.046143
34.907417 29.06665 8.049249
34.939884 27.716204 8.072683
34.980827 26.66157 8.080483
35.0942 25.975464 8.074468
35.257996 24.871353 8.093859
35.21005 25.146872 8.089393
35.322624 25.158041 8.095362
35.32819 25.738163 8.075043
35.204952 27.313402 8.051853
35.19892 27.938938 8.047832
35.076145 28.60131 8.049157
34.723854 28.563324 8.053083
34.976448 27.876732 8.065713
34.89812 27.543833 8.058244
35.068848 26.407621 8.0802555
35.10565 25.53333 8.089412
35.194954 24.809301 8.096626
35.275497 24.496538 8.094235
35.3354 24.52908 8.090131
35.312347 25.361708 8.08001
35.266823 26.53901 8.058111
35.216843 28.456463 8.03046
35.134937 28.558352 8.039669
35.01318 29.112368 8.037926
34.81474 28.712988 8.043969
34.99978 27.347103 8.063938
35.050594 26.462614 8.073867
35.24594 25.54622 8.082576
35.300575 24.689863 8.092764
35.27361 24.768042 8.089432
35.27026 25.403683 8.078212
35.333183 25.18371 8.083106
35.37205 26.158686 8.069965
35.22723 28.118843 8.041609
35.122673 29.210333 8.019804
35.079887 30.069899 8.028162
34.792774 30.43731 8.028713
35.0271 28.446066 8.058596
35.04291 27.626875 8.054709
35.2107 26.780062 8.061822
35.26325 26.005606 8.066023
35.346127 25.126211 8.085126
35.33356 25.737295 8.074823
35.33161 26.141708 8.077336
35.305363 27.543926 8.052506
35.37716 28.117205 8.044747
