salinity temperature pH
34.799046 29.74203 8.024492
34.263866 29.40913 8.035765
33.171543 29.80729 8.037395
34.022465 27.844988 8.052349
34.564327 26.221243 8.065052
35.164536 24.826174 8.094487
35.311413 23.23942 8.104386
35.54588 23.632692 8.103085
35.456184 24.49178 8.098741
35.336205 26.592909 8.069598
35.462055 27.596281 8.058946
35.191895 29.380074 8.052418
35.03848 29.55542 8.037611
34.93955 29.30692 8.0448265
34.69755 29.065195 8.056551
34.332573 27.815298 8.079745
34.469784 26.244503 8.085018
34.857468 25.360067 8.079805
35.06088 24.561312 8.082023
35.233177 24.489367 8.0997925
35.251797 25.07897 8.095388
35.215366 25.829933 8.081447
35.136497 27.233429 8.069891
35.22527 28.24934 8.044712
35.198303 28.827284 8.045468
35.033154 29.580345 8.03634
34.910927 29.529953 8.042169
34.71919 28.224941 8.070835
34.8622 26.598186 8.078416
35.032257 25.42844 8.072761
35.234863 24.323668 8.079786
35.218727 25.140368 8.087464
35.352264 25.116674 8.088698
35.353256 25.991472 8.068153
35.246452 27.46335 8.047373
35.24491 28.11458 8.038869
35.118507 28.78547 8.039313
34.429173 28.919996 8.042062
34.63249 28.235935 8.053862
34.622593 27.58553 8.052766
34.81034 26.46902 8.062056
34.966606 25.10816 8.070421
35.237694 24.284653 8.087495
35.318092 24.14723 8.089591
35.38693 24.555344 8.082331
35.366734 25.434315 8.072623
35.288574 26.678234 8.055763
35.24687 28.726498 8.025038
35.171562 28.893143 8.027849
34.964138 29.21597 8.032334
34.733463 29.094692 8.039731
34.830788 27.926908 8.052934
35.068966 26.541687 8.064426
35.334 25.206318 8.074311
35.427807 24.293371 8.084479
35.336525 24.55461 8.08419
35.34832 25.49424 8.074355
35.504185 25.52028 8.0564785
35.428604 26.99548 8.053772
35.28595 28.353193 8.032964
35.12763 29.499136 8.014698
35.12796 30.13182 8.014636
34.847294 30.65358 8.024786
34.729553 28.872179 8.058299
34.82104 27.56605 8.062447
35.05093 26.669283 8.060816
35.221333 25.621483 8.06414
35.300713 24.770449 8.074056
35.33624 25.799303 8.06655
35.365074 26.505352 8.062251
35.333748 27.638058 8.0500555
35.401886 28.441366 8.034286
