salinity temperature pH
34.79087 29.721222 8.0248575
34.225117 29.389896 8.036241
33.126328 29.795774 8.037705
33.958008 27.810974 8.052288
34.51066 26.159922 8.064376
35.145477 24.740282 8.09449
35.288353 23.158142 8.101682
35.54285 23.51756 8.101152
35.465492 24.421444 8.098588
35.329414 26.557384 8.068858
35.462906 27.56774 8.059201
35.19862 29.368538 8.052658
35.04429 29.56857 8.037763
34.939743 29.321936 8.043975
34.698116 29.064775 8.055963
34.28037 27.790977 8.081061
34.39665 26.216211 8.085898
34.82111 25.26911 8.080458
35.059284 24.465904 8.082131
35.244358 24.412212 8.099714
35.261803 25.034277 8.095244
35.229187 25.802647 8.081638
35.14396 27.216824 8.070211
35.232742 28.259073 8.0443535
35.207073 28.8666 8.043467
35.045322 29.586494 8.035563
34.908302 29.539602 8.04279
34.690186 28.215033 8.072278
34.834602 26.570496 8.078611
35.01947 25.334204 8.07304
35.225925 24.237335 8.07783
35.222507 25.08257 8.087924
35.358925 25.074657 8.089149
35.356106 25.97153 8.0683365
35.259 27.427523 8.047615
35.253796 28.101816 8.03827
35.129242 28.780422 8.038148
34.405647 28.91943 8.041759
34.595257 28.225498 8.053678
34.57467 27.55838 8.052863
34.769352 26.442667 8.060646
34.944168 25.03333 8.06812
35.241352 24.208149 8.086543
35.322655 24.090141 8.089076
35.395134 24.514519 8.08156
35.38122 25.410006 8.071536
35.296413 26.666111 8.056628
35.25835 28.712662 8.024588
35.176567 28.917215 8.026497
34.96203 29.197058 8.032475
34.72246 29.095497 8.040065
34.80518 27.94092 8.052685
35.069035 26.527382 8.064454
35.34711 25.148075 8.07467
35.440056 24.224106 8.08417
35.34541 24.485907 8.08406
35.365723 25.45214 8.075397
35.529274 25.490482 8.05569
35.439728 26.989433 8.052275
35.295406 28.353937 8.032463
35.133915 29.499542 8.014185
35.13281 30.100084 8.013723
34.854187 30.632181 8.024845
34.693035 28.853113 8.059686
34.785343 27.514175 8.063995
35.020206 26.624105 8.061073
35.205128 25.554525 8.064254
35.288177 24.692003 8.072638
35.33698 25.73168 8.06666
35.368828 26.499218 8.060871
35.345234 27.612768 8.049874
35.414417 28.436497 8.033033
