salinity temperature pH
34.820446 29.7093 8.024439
34.37013 29.375507 8.035611
33.301895 29.772093 8.037431
34.320145 27.833881 8.056666
34.726303 26.311827 8.069223
35.209347 24.988562 8.096599
35.37479 23.44528 8.114021
35.544575 23.765358 8.110327
35.42891 24.561405 8.101131
35.349915 26.536802 8.07332
35.457214 27.551348 8.061207
35.176388 29.361792 8.052067
35.025963 29.429317 8.037703
34.934673 29.198555 8.0476675
34.69837 28.978788 8.058962
34.505093 27.781097 8.078733
34.70282 26.299343 8.083903
34.94271 25.488068 8.082406
35.05951 24.732563 8.085021
35.203537 24.568298 8.103454
35.225113 25.044296 8.099358
35.189255 25.780867 8.083805
35.117542 27.18425 8.071453
35.198822 28.071058 8.049413
35.172977 28.639536 8.050453
35.004265 29.449884 8.039262
34.9094 29.392673 8.043466
34.81694 28.081217 8.071232
34.92838 26.604202 8.0806675
35.056366 25.631023 8.073278
35.249725 24.499054 8.086031
35.209084 25.171635 8.088385
35.336445 25.141695 8.09008
35.34403 25.903215 8.071779
35.22356 27.430761 8.049622
35.222206 28.040932 8.042143
35.10105 28.72761 8.043247
34.50971 28.82895 8.044963
34.782284 28.128237 8.058178
34.74855 27.586426 8.054972
34.938557 26.482445 8.069722
35.034363 25.265358 8.079018
35.223866 24.450552 8.091384
35.302197 24.249155 8.092676
35.365204 24.538809 8.086885
35.335064 25.410042 8.076552
35.271908 26.635735 8.05598
35.22457 28.635483 8.026937
35.160664 28.754004 8.03133
34.980343 29.18261 8.03358
34.773388 28.986534 8.041275
34.91475 27.725815 8.057567
35.059547 26.506454 8.067756
35.295765 25.3161 8.076731
35.381504 24.428192 8.08873
35.308224 24.632042 8.087443
35.30654 25.450878 8.076152
35.430714 25.422575 8.065403
35.398537 26.80274 8.059968
35.25815 28.251026 8.03661
35.110504 29.39943 8.016282
35.118416 30.074293 8.01892
34.847088 30.606998 8.025521
34.84906 28.7894 8.057663
34.92403 27.632942 8.059063
35.130344 26.75786 8.06113
35.250553 25.756104 8.064848
35.326496 24.92508 8.079096
35.32984 25.806484 8.068825
35.350346 26.364143 8.069434
35.31017 27.65192 8.049687
35.380013 28.382765 8.037738
