salinity temperature pH
34.707825 29.895689 8.025353
34.073086 29.401726 8.035852
32.83766 29.798693 8.037741
33.46953 27.696085 8.049503
34.2359 25.8564 8.057668
34.971844 24.151789 8.084065
35.147663 22.709341 8.082703
35.52306 23.134176 8.071825
35.577854 24.130177 8.083143
35.39621 26.908993 8.042473
35.504944 27.782602 8.041431
35.332516 29.727888 8.042147
35.17162 29.889168 8.026676
34.921658 29.756227 8.027682
34.636753 29.193247 8.045387
34.01045 27.716654 8.083468
33.919777 25.998182 8.086843
34.5319 24.872337 8.075127
35.033493 24.003098 8.071998
35.388958 23.966316 8.085805
35.412132 25.103052 8.07739
35.44446 25.919651 8.066238
35.30861 27.47635 8.050758
35.375195 28.808773 8.030623
35.23457 29.495388 8.020692
35.14781 30.07032 8.021246
34.932945 29.778372 8.041812
34.419445 28.275507 8.078866
34.5918 26.385702 8.074565
34.91142 24.697977 8.070902
35.17343 23.690765 8.0613785
35.31853 24.555555 8.076623
35.47178 25.088385 8.067851
35.45117 26.25733 8.054072
35.474976 27.721933 8.027212
35.399925 28.337557 8.020174
35.253006 28.991858 8.017934
34.167953 29.088257 8.034982
34.24386 28.25165 8.050877
34.137627 27.407959 8.04977
34.42853 26.264326 8.05074
34.762245 24.665323 8.054075
35.270676 23.61674 8.069949
35.381496 23.719656 8.074596
35.53173 24.435078 8.058341
35.572372 25.533873 8.045491
35.468307 26.936203 8.042681
35.492596 29.2467 8.00482
35.216244 29.422623 8.004726
34.883316 29.391245 8.025737
34.486904 29.194939 8.041722
34.534863 28.096727 8.052244
35.045544 26.442099 8.063213
35.419506 24.823137 8.07377
35.55323 23.824106 8.073971
35.49076 24.104744 8.065479
35.561127 25.502232 8.059998
35.741573 25.635649 8.0389385
35.640038 27.621202 8.017776
35.375324 28.715906 8.016124
35.16014 30.016308 7.9975786
35.149178 30.365612 8.000373
34.81985 30.742468 8.022128
34.483505 28.68278 8.06559
34.49171 27.238838 8.0664215
34.802483 26.338305 8.0596895
35.055668 25.070145 8.060085
35.16874 24.144783 8.056875
35.35115 25.642746 8.041038
35.463383 26.821365 8.039126
35.521072 27.954903 8.0223875
35.568764 28.65281 8.012787
