salinity temperature pH
34.877754 29.524364 8.027332
34.55348 29.390282 8.036502
33.64808 29.661795 8.039344
34.045403 27.879978 8.053425
34.72982 26.268545 8.070212
35.237194 25.012632 8.101267
35.342705 23.271412 8.108487
35.536266 23.928232 8.117175
35.449028 24.514395 8.103609
35.338123 26.51886 8.073058
35.45263 27.564009 8.06325
35.148586 29.253347 8.053234
34.992714 29.430923 8.040502
34.96236 28.893074 8.056719
34.712833 28.9588 8.060135
34.40796 27.744198 8.0810995
34.54501 26.236948 8.085272
34.91597 25.444548 8.083953
35.04603 24.826881 8.083773
35.20363 24.559818 8.104052
35.22713 25.032354 8.100449
35.17212 25.796726 8.086523
35.128716 27.112143 8.072569
35.21419 28.212618 8.04597
35.21748 28.539858 8.049316
35.02727 29.352919 8.041523
34.940296 29.351767 8.042991
34.681858 28.209831 8.072443
34.889717 26.614487 8.078
35.050835 25.582987 8.073744
35.258083 24.448217 8.084838
35.212425 25.140732 8.089146
35.342125 25.07574 8.095509
35.33738 25.944538 8.071364
35.21849 27.340565 8.0521345
35.225906 28.048975 8.042554
35.092594 28.71231 8.04307
34.536697 28.832644 8.041757
34.603577 28.23574 8.054323
34.676643 27.552399 8.0544195
34.802483 26.459177 8.062931
34.98264 25.1617 8.072451
35.228653 24.310898 8.089546
35.314705 24.15077 8.09057
35.362183 24.568504 8.088834
35.340927 25.383694 8.079352
35.28108 26.625648 8.059106
35.223602 28.54104 8.029642
35.16924 28.593855 8.034749
34.968063 29.006517 8.035316
34.681126 28.994947 8.04185
34.808247 27.90843 8.052766
35.068966 26.464071 8.066233
35.302887 25.260677 8.074984
35.426205 24.287523 8.085535
35.325237 24.503647 8.086266
35.300655 25.401613 8.077666
35.469566 25.425056 8.061304
35.413868 26.947989 8.056452
35.299656 28.180647 8.03895
35.1197 29.330229 8.018624
35.127098 29.84289 8.018377
34.815403 30.613005 8.028121
34.76723 28.81953 8.059087
34.8479 27.567081 8.061946
35.093475 26.703125 8.060356
35.244267 25.688843 8.065057
35.31122 24.810995 8.075509
35.325886 25.84576 8.070068
35.357243 26.44725 8.066316
35.29859 27.58097 8.052702
35.33058 28.336035 8.0443735
