salinity temperature pH
34.88807 29.767593 8.025004
34.766922 29.214977 8.039389
33.795753 29.549427 8.0396805
34.856503 27.790298 8.067072
35.114384 26.583353 8.0808525
35.269054 25.159883 8.100615
35.465206 23.73899 8.126236
35.605354 23.72858 8.112078
35.377472 24.668888 8.102592
35.352028 26.537004 8.072557
35.469246 27.417015 8.056782
35.142426 29.333303 8.048876
34.998795 29.327774 8.037044
34.92385 29.006636 8.051797
34.64246 28.893913 8.062884
34.74357 27.65282 8.07666
35.001144 26.393799 8.08165
35.019028 25.742575 8.085643
35.03739 25.210533 8.090022
35.16152 24.77594 8.108494
35.181107 24.992887 8.1020975
35.15887 25.731285 8.086658
35.12272 27.118618 8.071639
35.1743 27.816269 8.055564
35.121643 28.392471 8.057129
34.982853 29.13787 8.043833
34.89433 29.126854 8.048599
34.9312 27.779875 8.072728
34.97268 26.712875 8.079329
35.094418 26.041853 8.07475
35.25359 24.94264 8.094173
35.211933 25.162643 8.088724
35.322914 25.16078 8.096916
35.321133 25.870186 8.072547
35.205814 27.346836 8.050893
35.193996 27.993736 8.0471735
35.068493 28.660131 8.048458
34.6977 28.60733 8.053405
34.95958 27.92068 8.06495
34.8947 27.555126 8.058579
35.06367 26.441591 8.079961
35.098145 25.566526 8.089678
35.18492 24.873957 8.097307
35.26958 24.561768 8.093159
35.326332 24.587362 8.089968
35.30277 25.397484 8.082158
35.266785 26.585651 8.058251
35.210865 28.580057 8.029191
35.131386 28.645666 8.038828
35.004604 29.172894 8.037199
34.80432 28.787243 8.042983
34.98586 27.448725 8.062764
35.04605 26.498434 8.073539
35.23268 25.574821 8.082518
35.290653 24.737204 8.092309
35.26396 24.795763 8.090052
35.25988 25.327332 8.079223
35.32714 25.217646 8.083136
35.36733 26.421932 8.06654
35.215595 28.218996 8.041011
35.116493 29.338482 8.018051
35.074806 30.1965 8.027401
34.770157 30.50159 8.027998
35.019157 28.490997 8.057924
35.040184 27.646513 8.0548725
35.20527 26.815042 8.061488
35.256 26.051172 8.0659685
35.34159 25.158247 8.08469
35.330296 25.805048 8.075483
35.326366 26.221632 8.076208
35.30249 27.57616 8.052034
35.3744 28.139988 8.045711
