salinity temperature pH
34.823235 29.729776 8.024124
34.38988 29.436588 8.0348835
33.32746 29.791496 8.037218
34.22043 27.877302 8.054353
34.717922 26.342524 8.068218
35.222862 25.053524 8.096812
35.36257 23.413181 8.111365
35.54281 23.867594 8.110091
35.43042 24.619936 8.099767
35.35325 26.612427 8.072111
35.45946 27.631506 8.061324
35.174023 29.38732 8.05174
35.025364 29.481466 8.037619
34.937233 29.217758 8.047688
34.69534 29.01496 8.0585
34.467648 27.821959 8.077917
34.657764 26.299004 8.083443
34.938362 25.53684 8.080652
35.05873 24.77094 8.083446
35.201588 24.632452 8.102362
35.225567 25.117146 8.0975895
35.18665 25.84761 8.082605
35.11881 27.242071 8.070359
35.205307 28.174322 8.047103
35.175373 28.671316 8.050115
35.0079 29.496658 8.0388775
34.91399 29.446247 8.04211
34.788754 28.16913 8.069678
34.91731 26.63691 8.078873
35.056507 25.640625 8.0726795
35.25122 24.509235 8.084895
35.209267 25.234705 8.087323
35.336475 25.1849 8.089175
35.344032 25.980036 8.069963
35.22049 27.48181 8.048636
35.224255 28.079367 8.041627
35.095932 28.765566 8.042453
34.50948 28.860952 8.043921
34.73752 28.19718 8.056117
34.730324 27.610897 8.053632
34.90699 26.49765 8.067297
35.01984 25.262363 8.076588
35.2252 24.457336 8.090288
35.303818 24.270218 8.091406
35.3645 24.60355 8.0858965
35.335377 25.464375 8.075783
35.2706 26.695911 8.054799
35.22226 28.704933 8.0265045
35.160698 28.785269 8.030847
34.97273 29.197649 8.033127
34.759647 29.044916 8.040288
34.89092 27.819807 8.055315
35.062473 26.536394 8.066115
35.30036 25.32373 8.075145
35.39358 24.428604 8.086681
35.31163 24.682562 8.086054
35.304718 25.521847 8.074096
35.439526 25.502836 8.0620165
35.401382 26.910862 8.058033
35.254913 28.293009 8.035928
35.11679 29.436335 8.015974
35.11715 30.090902 8.017979
34.841255 30.640303 8.025287
34.822453 28.846584 8.056548
34.907974 27.658396 8.058512
35.11896 26.755892 8.060682
35.250145 25.762218 8.064232
35.324512 24.92228 8.077869
35.330986 25.892912 8.067853
35.354378 26.439632 8.066849
35.309242 27.704672 8.049408
35.373913 28.44115 8.037527
