salinity temperature pH
34.922733 29.560448 8.025672
34.76235 29.45041 8.034911
34.019405 29.65751 8.038535
34.47188 27.922173 8.058169
34.982574 26.509203 8.076619
35.293255 25.386206 8.10503
35.41738 23.593666 8.119373
35.515408 24.23901 8.123311
35.410774 24.72548 8.102907
35.359894 26.559315 8.07514
35.451965 27.610548 8.06621
35.09782 29.27917 8.050031
34.97043 29.39591 8.040064
34.91683 28.89509 8.058936
34.668583 28.895771 8.063843
34.606766 27.804516 8.079049
34.891468 26.3559 8.0827265
35.00151 25.765772 8.083786
35.01586 25.268055 8.086199
35.14263 24.884058 8.108748
35.171173 25.138992 8.100712
35.124763 25.890266 8.085428
35.099003 27.121046 8.072835
35.177876 28.030405 8.051315
35.141956 28.330587 8.058832
34.96801 29.33821 8.04309
34.9195 29.229889 8.045356
34.83975 28.058224 8.071521
34.955826 26.716852 8.077924
35.07426 25.976116 8.073645
35.25716 24.88278 8.09071
35.18867 25.323694 8.089384
35.31707 25.144121 8.095817
35.31127 26.00238 8.069506
35.177307 27.436947 8.053797
35.188023 28.015432 8.046761
35.051052 28.677223 8.047978
34.681503 28.699514 8.047599
34.83633 28.095022 8.059927
34.845135 27.582722 8.056361
34.99207 26.50818 8.073943
35.066544 25.458506 8.083303
35.197697 24.695923 8.094884
35.280914 24.455002 8.092757
35.322407 24.70631 8.09115
35.29808 25.464016 8.081994
35.254696 26.5791 8.057951
35.186005 28.535637 8.031075
35.137333 28.538797 8.037115
34.976128 28.998405 8.037144
34.7541 28.876474 8.0427
34.944862 27.645105 8.058796
35.039936 26.496479 8.069669
35.246 25.509754 8.077812
35.34121 24.601683 8.089933
35.277504 24.746717 8.089008
35.245537 25.423767 8.075743
35.355846 25.378052 8.073407
35.36932 26.807737 8.0619335
35.265907 28.124577 8.042355
35.09802 29.231634 8.019614
35.080177 29.975775 8.025034
34.82654 30.515863 8.028655
34.93139 28.716825 8.057417
34.965256 27.727177 8.054037
35.172993 26.831022 8.060471
35.255676 26.008032 8.064184
35.331783 25.166351 8.080109
35.308 25.97033 8.071164
35.326435 26.368166 8.072792
35.260715 27.653757 8.051644
35.30947 28.308435 8.045945
