salinity temperature pH
34.726135 29.841047 8.025223
34.086037 29.37975 8.035974
32.878227 29.784245 8.037985
33.48064 27.696339 8.049443
34.24372 25.868568 8.057534
34.986557 24.182344 8.084599
35.149704 22.716074 8.082934
35.524696 23.130068 8.073531
35.565536 24.1317 8.085037
35.375355 26.803461 8.046241
35.497772 27.719893 8.044574
35.315258 29.643898 8.043956
35.150505 29.832693 8.028657
34.92545 29.695633 8.029923
34.657433 29.179293 8.04621
34.015125 27.71056 8.083238
33.92965 26.006962 8.08689
34.54262 24.876173 8.075263
35.034412 24.012749 8.072529
35.377632 23.98057 8.086543
35.39205 25.060482 8.080227
35.41693 25.875826 8.068905
35.2757 27.373518 8.05583
35.35791 28.713678 8.032458
35.2555 29.400427 8.023604
35.15074 29.945269 8.023777
34.929634 29.728605 8.042021
34.4274 28.259619 8.078342
34.601303 26.395454 8.07458
34.915585 24.724035 8.070817
35.174572 23.707117 8.06181
35.303585 24.6161 8.079707
35.455322 25.051964 8.071866
35.43578 26.197493 8.055897
35.443104 27.637833 8.030866
35.382584 28.295723 8.022765
35.23863 28.943554 8.020144
34.18742 29.061132 8.035418
34.257454 28.247482 8.050639
34.16303 27.414087 8.0498
34.436844 26.27044 8.050887
34.767998 24.671398 8.054196
35.268917 23.63811 8.070967
35.37742 23.73541 8.075466
35.517387 24.424377 8.060556
35.554626 25.497019 8.048398
35.438324 26.870514 8.046061
35.453846 29.117065 8.008429
35.21396 29.349453 8.007839
34.883835 29.328524 8.026978
34.502544 29.17716 8.041611
34.542835 28.086168 8.0519705
35.047466 26.444052 8.063038
35.41767 24.837854 8.073402
35.548794 23.83924 8.0739765
35.476063 24.127611 8.067403
35.54039 25.481209 8.063273
35.730225 25.625504 8.039732
35.62075 27.544447 8.020806
35.36969 28.677052 8.017504
35.156864 29.927595 8.000016
35.152523 30.31165 8.001002
34.82285 30.762657 8.022011
34.487938 28.693413 8.065287
34.505337 27.2486 8.066057
34.8082 26.350597 8.060059
35.063026 25.091028 8.060379
35.17346 24.159224 8.058004
35.349457 25.627922 8.045941
35.453613 26.788595 8.040871
35.50172 27.901875 8.026118
35.543133 28.602554 8.016069
