salinity temperature pH
34.838593 29.695923 8.024461
34.460697 29.45195 8.03478
33.425655 29.771015 8.037485
34.292675 27.871862 8.05541
34.789825 26.376078 8.070334
35.2495 25.144318 8.098982
35.378933 23.454206 8.114091
35.541218 23.949696 8.114501
35.421326 24.656204 8.100567
35.357506 26.620245 8.073111
35.456993 27.640583 8.062841
35.163788 29.398863 8.051519
35.018364 29.494408 8.03813
34.938354 29.143116 8.050158
34.69238 28.994715 8.05983
34.51958 27.804304 8.077964
34.72871 26.311716 8.083074
34.962147 25.576218 8.082076
35.054443 24.84678 8.08418
35.187893 24.680199 8.10422
35.21411 25.137821 8.098893
35.174717 25.847439 8.083715
35.11455 27.2604 8.070855
35.19961 28.18458 8.047692
35.17058 28.601992 8.052214
35.002216 29.427656 8.04051
34.9169 29.400497 8.042618
34.80893 28.13889 8.069851
34.933598 26.649733 8.078855
35.06316 25.71131 8.072868
35.256638 24.564606 8.0870075
35.205288 25.26377 8.088016
35.331516 25.209393 8.089832
35.339413 25.978046 8.070887
35.21034 27.469093 8.049676
35.2184 28.05023 8.043007
35.08764 28.764723 8.043575
34.535923 28.82747 8.045016
34.770664 28.169773 8.057266
34.766434 27.604582 8.054351
34.937515 26.497314 8.069466
35.03699 25.300207 8.07897
35.219498 24.505617 8.091431
35.298176 24.302845 8.092227
35.35552 24.608183 8.08794
35.32562 25.469618 8.077402
35.26571 26.715605 8.054888
35.213814 28.704355 8.026934
35.159077 28.745626 8.031648
34.97625 29.177849 8.033635
34.76432 29.03238 8.040591
34.909122 27.767525 8.05653
35.058197 26.51587 8.067373
35.286892 25.356134 8.075894
35.382248 24.453041 8.088041
35.302284 24.712801 8.0873375
35.286533 25.511406 8.0746155
35.41609 25.460321 8.064899
35.394424 26.896997 8.05918
35.252632 28.246815 8.037589
35.118073 29.41572 8.016628
35.112793 30.050934 8.019581
34.836536 30.63783 8.025787
34.85827 28.811285 8.056516
34.934288 27.68437 8.057146
35.138767 26.7755 8.060855
35.257595 25.804409 8.064459
35.330444 24.960653 8.079252
35.327755 25.926718 8.068682
35.349785 26.393513 8.068594
35.299477 27.721807 8.049771
35.35851 28.436913 8.039586
