salinity temperature pH
34.752666 29.717274 8.025339
34.070953 29.347897 8.037241
32.92266 29.801105 8.037757
33.671944 27.72932 8.050682
34.321426 25.993084 8.060742
35.04433 24.411695 8.09064
35.190838 22.872692 8.090207
35.52277 23.229416 8.086023
35.51031 24.231842 8.092883
35.32146 26.569895 8.060745
35.472347 27.604305 8.051846
35.247063 29.451492 8.049368
35.085217 29.650724 8.035335
34.943165 29.527246 8.0364275
34.688244 29.136324 8.05093
34.07248 27.757215 8.084378
34.102757 26.111841 8.088198
34.655113 24.998358 8.079621
35.0488 24.15711 8.078669
35.30657 24.1666 8.094788
35.320244 25.014582 8.0889
35.313812 25.803139 8.077438
35.188404 27.23167 8.065815
35.282978 28.39499 8.041213
35.23157 29.166426 8.032361
35.098335 29.776857 8.029944
34.89743 29.639687 8.044307
34.545376 28.224428 8.077055
34.692738 26.48827 8.077025
34.955387 24.952726 8.073208
35.186977 23.914818 8.069082
35.252 24.90896 8.085324
35.397095 25.036846 8.083679
35.38395 26.05386 8.064002
35.33257 27.456587 8.041619
35.302685 28.182217 8.031725
35.176018 28.821821 8.030875
34.283108 28.977 8.039831
34.421158 28.227657 8.052952
34.3464 27.487848 8.052063
34.582733 26.348936 8.055802
34.843822 24.789183 8.05963
35.25765 23.922937 8.080545
35.34659 23.90026 8.084048
35.44889 24.459528 8.072417
35.46085 25.420122 8.061513
35.347233 26.716991 8.054054
35.334087 28.840832 8.018863
35.195923 29.119833 8.016956
34.938274 29.232233 8.0313425
34.640354 29.127663 8.041525
34.67565 28.031961 8.052246
35.06157 26.518856 8.064132
35.396095 24.972319 8.07509
35.496895 23.999006 8.079691
35.402367 24.324947 8.077216
35.458073 25.465498 8.070959
35.636322 25.571642 8.047516
35.50569 27.168406 8.040418
35.329483 28.508205 8.02586
35.15369 29.646748 8.008657
35.148132 30.119804 8.007546
34.853245 30.641579 8.022662
34.547596 28.806005 8.063499
34.621716 27.364134 8.066697
34.889057 26.479746 8.0613
35.121647 25.295673 8.063456
35.22477 24.379084 8.0659685
35.33803 25.626316 8.059195
35.401993 26.65161 8.050611
35.413513 27.701153 8.041533
35.491505 28.525429 8.022917
