salinity temperature pH
34.94905 29.760498 8.023837
34.800453 29.394781 8.036654
33.99802 29.661013 8.0381155
34.80784 27.853645 8.0655775
35.107937 26.621769 8.082713
35.310123 25.549261 8.106542
35.461906 23.781708 8.127171
35.529396 24.292662 8.125862
35.38807 24.872107 8.101067
35.38272 26.632402 8.073977
35.456585 27.61621 8.066529
35.087254 29.439222 8.044728
34.978474 29.354595 8.040069
34.893936 28.968637 8.057454
34.651897 28.896626 8.064681
34.74572 27.742676 8.076415
35.020103 26.456661 8.0799885
35.015205 25.9021 8.084491
35.00103 25.450996 8.087516
35.114788 25.016302 8.112982
35.14805 25.193699 8.100729
35.115955 25.936884 8.084215
35.08555 27.167397 8.072742
35.16747 28.066998 8.052059
35.125492 28.283478 8.060459
34.947384 29.376085 8.043294
34.90801 29.125278 8.048136
34.937458 27.867687 8.072488
34.953167 26.82847 8.076712
35.0868 26.171774 8.074615
35.228466 25.205624 8.088032
35.18529 25.3851 8.089747
35.31053 25.229591 8.09367
35.307835 26.020279 8.070871
35.163734 27.490341 8.0516205
35.173645 27.980026 8.048853
35.04592 28.669384 8.049753
34.750843 28.610306 8.052883
34.95711 27.96737 8.064796
34.90241 27.59628 8.056653
35.06195 26.537983 8.079543
35.082237 25.73698 8.089551
35.16878 24.980396 8.098398
35.255238 24.711998 8.090482
35.303818 24.73477 8.091673
35.279465 25.515877 8.08152
35.243374 26.62725 8.055546
35.17087 28.652676 8.030174
35.113712 28.589014 8.040167
34.98427 29.080832 8.039105
34.79583 28.73778 8.043607
34.99087 27.496689 8.062633
35.030945 26.534893 8.074289
35.210815 25.656746 8.083523
35.27264 24.82221 8.092922
35.249454 24.899193 8.092145
35.212303 25.397942 8.07689
35.300163 25.309412 8.082644
35.358658 26.663792 8.064865
35.2257 28.148119 8.04425
35.102173 29.270931 8.019555
35.06427 30.050453 8.029732
34.828648 30.43239 8.029294
35.030754 28.49445 8.057787
35.002922 27.776989 8.051376
35.197887 26.921587 8.059833
35.24069 26.183073 8.064657
35.334515 25.325108 8.081329
35.305576 25.994963 8.072244
35.311718 26.292152 8.077946
35.257015 27.76803 8.049646
35.322746 28.249746 8.04832
